Part,Eden Prarie,SpringField,West Fargo
TB023375X045000,-100.00%,-36.25%,32.84%
TB21113        ,-100.00%,0.62%,52.23%
USSFZ025       ,-53.06%,-23.77%,-2.68%
WS10X8RTGWB115 ,0.18%,-0.34%,-0.41%
WS10X8TSWB115  ,39.19%,-36.55%,-2.81%
WS10X8VCPWB115 ,7.05%,478.72%,-0.08%
WS12X82TGWB115 ,7.58%,0.72%,0.16%
WS16X82TGWB115 ,0.73%,5.83%,-1.42%
WS16X8RTGWB115 ,-55.06%,-100.00%,-32.39%
WS16X8TSWB115  ,5.11%,48.09%,-15.10%
WS18X8TSWB115  ,0.46%,-3.57%,-0.23%
